AreaName,Year,Pop-0-14,Pop>65,Density,Population,Female,Male,SexRatio,SurfaceArea
Philippines,2015,32.3,7.3,342.5,102.11,50.720000000000006,51.39,101.3,300
Philippines,2019,30.5,8.3,362.6,108.11999999999999,53.8,54.32,101,300
Philippines,2021,29.5,8.9,372.4,111.05,55.309999999999995,55.74,100.8,NA
Poland,2010,15.2,19.4,125.2,38.33,19.8,18.53,93.6,NA
Poland,2015,14.8,22.7,124.2,38.03,19.6,18.43,94.1,313
Poland,2019,15.2,25.4,123.7,37.89,19.53,18.36,94,313
Poland,2021,15.2,26.4,123.4,37.8,19.479999999999997,18.310000000000002,94,NA
Polynesia,2010,32,8.4,81.2,0.6599999999999999,0.32,0.32999999999999996,104,NA
Polynesia,2015,30.9,9.6,82.4,0.6699999999999999,0.32999999999999996,0.33999999999999997,103.1,8
Polynesia,2019,29.6,10.8,84,0.6799999999999999,0.33999999999999997,0.33999999999999997,102.9,8
Polynesia,2021,29,11.5,85.1,0.69,0.33999999999999997,0.35,102.8,NA
Portugal,2010,15,24.7,115.7,10.6,5.53,5.07,91.8,NA
Portugal,2015,14.1,27,113.2,10.370000000000001,5.46,4.91,90,92
Portugal,2019,13.3,28.9,111.7,10.229999999999999,5.39,4.84,89.7,92
Portugal,2021,12.9,29.8,111,10.17,5.359999999999999,4.81,89.8,NA
Puerto Rico,2010,20.6,18.3,403.6,3.58,1.86,1.72,92.4,NA
Puerto Rico,2015,18.6,21.3,381.2,3.38,1.76,1.62,91.7,9
Puerto Rico,2019,16.3,26.2,330.7,2.9299999999999997,1.54,1.3900000000000001,90.3,9
Puerto Rico,2021,14.9,28.2,318.9,2.8299999999999996,1.49,1.34,89.9,NA
Qatar,2010,12.9,1.6,159.9,1.86,0.44,1.42,324.8,NA
Qatar,2015,13.4,2.2,221,2.57,0.62,1.95,316.9,12
Qatar,2019,13.6,3.3,243.9,2.8299999999999996,0.7,2.13,305.4,12
Qatar,2021,13.7,3.9,252.4,2.9299999999999997,0.73,2.2,299.3,NA
Republic of Korea,2010,16.1,15.3,509.6,49.55,24.72,24.82,100.4,NA
Republic of Korea,2015,13.8,18.3,522.7,50.82,25.36,25.47,100.4,100
Republic of Korea,2019,12.7,22.1,526.8,51.230000000000004,25.58,25.650000000000002,100.3,100
Republic of Korea,2021,12.3,24.2,527.7,51.309999999999995,25.630000000000003,25.68,100.2,NA
Republic of Moldova,2010,16.5,14.1,124.4,4.09,2.12,1.96,92.6,NA
Republic of Moldova,2015,15.8,16.5,123.9,4.07,2.11,1.96,92.5,34
Republic of Moldova,2019,15.9,18.4,123.1,4.04,2.11,1.94,92,34
Republic of Moldova,2021,15.8,19.5,122.5,4.02,2.1,1.93,91.8,NA
Romania,2010,15.8,21.3,88.9,20.47,10.53,9.94,94.4,NA
Romania,2015,15.5,23.8,86.6,19.93,10.229999999999999,9.7,94.9,238
Romania,2019,15.6,25.7,84.1,19.36,9.950000000000001,9.42,94.7,238
Romania,2021,15.5,26,83.1,19.130000000000003,9.83,9.3,94.6,NA
Russian Federation,2010,14.9,18,8.8,143.48000000000002,76.94000000000001,66.54,86.5,NA
Russian Federation,2015,16.9,20,8.9,144.99,77.81,67.16999999999999,86.3,17098
Russian Federation,2019,18.2,22,8.9,145.87,78.27,67.6,86.4,17098
Russian Federation,2021,18.5,22.9,8.9,145.91,78.27,67.64,86.4,NA
Rwanda,2010,41.5,4.1,406.9,10.04,5.119999999999999,4.92,96.1,NA
Rwanda,2015,40.6,4.5,460.8,11.370000000000001,5.79,5.58,96.5,26
Rwanda,2019,39.8,5,511.8,12.629999999999999,6.42,6.21,96.7,26
Rwanda,2021,39.2,5.3,538.2,13.28,6.75,6.53,96.7,NA
Réunion,2010,25.4,12.2,332.2,0.8300000000000001,0.43000000000000005,0.4,93.9,NA
Réunion,2015,24.3,15.3,345.3,0.8600000000000001,0.45,0.42000000000000004,93.9,3
Réunion,2019,22.8,17.6,355.6,0.89,0.46,0.43000000000000005,93.8,3
Réunion,2021,22,18.9,360.7,0.9,0.47000000000000003,0.44,93.8,NA
Saint Barthélemy,2010,NA,NA,419.7,0.01,NA,NA,NA,NA
Saint Barthélemy,2015,NA,NA,440.7,0.01,NA,NA,NA,NA
Saint Barthélemy,2021,NA,NA,450.4,0.01,NA,NA,NA,NA
Saint Helena,2010,NA,NA,13.3,0.01,NA,NA,NA,NA
Saint Helena,2015,NA,NA,15,0.01,NA,NA,NA,0
Saint Helena,2019,NA,NA,15.5,0.01,NA,NA,NA,0
Saint Helena,2021,NA,NA,15.6,0.01,NA,NA,NA,NA
Saint Kitts and Nevis,2010,NA,NA,188.5,0.05,NA,NA,NA,NA
Saint Kitts and Nevis,2015,NA,NA,196.9,0.05,NA,NA,NA,0
Saint Kitts and Nevis,2019,NA,NA,203.2,0.05,NA,NA,NA,0
Saint Kitts and Nevis,2021,NA,NA,205.9,0.05,NA,NA,NA,NA
Saint Lucia,2010,23.2,11.9,285.4,0.17,0.09,0.09,96.9,NA
Saint Lucia,2015,19.8,12.9,293.7,0.18,0.09,0.09,97,1
Saint Lucia,2019,18.2,14.4,299.7,0.18,0.09,0.09,97,1
Saint Lucia,2021,17.7,15.4,302.3,0.18,0.09,0.09,97,NA
Saint Martin (French part),2010,NA,NA,709.1,0.04,NA,NA,NA,NA
Saint Martin (French part),2015,NA,NA,676.7,0.04,NA,NA,NA,NA
Saint Martin (French part),2021,NA,NA,740.4,0.04,NA,NA,NA,NA
Saint Pierre and Miquelon,2010,NA,NA,27.7,0.01,NA,NA,NA,NA
Saint Pierre and Miquelon,2015,NA,NA,26.1,0.01,NA,NA,NA,0
Saint Pierre and Miquelon,2019,NA,NA,25.3,0.01,NA,NA,NA,0
Saint Pierre and Miquelon,2021,NA,NA,25.1,0.01,NA,NA,NA,NA
Saint Vincent & Grenadines,2010,25.8,11.3,277.6,0.11,0.05,0.06,103.7,NA
Saint Vincent & Grenadines,2015,23.7,13.2,279.8,0.11,0.05,0.06,103.8,0
Saint Vincent & Grenadines,2019,22.2,14.3,283.6,0.11,0.05,0.06,102.9,0
Saint Vincent & Grenadines,2021,21.6,15.1,285.3,0.11,0.05,0.06,102.5,NA
Samoa,2010,38.3,7.1,65.7,0.19,0.09,0.1,106.7,NA
Samoa,2015,38.8,7,68.4,0.19,0.09,0.1,107,3
Samoa,2019,37.9,7.8,69.6,0.2,0.1,0.1,107.3,3
Samoa,2021,37.1,8.2,70.7,0.2,0.1,0.1,107.3,NA
San Marino,2010,NA,NA,520.4,0.03,NA,NA,NA,NA
San Marino,2015,NA,NA,554.5,0.03,NA,NA,NA,0
San Marino,2019,NA,NA,564.4,0.03,NA,NA,NA,0
San Marino,2021,NA,NA,566.8,0.03,NA,NA,NA,NA
Sao Tome and Principe,2010,43.4,4.4,187.9,0.18,0.09,0.09,99.9,NA
Sao Tome and Principe,2015,43.3,4.5,207.7,0.2,0.1,0.1,100.1,1
Sao Tome and Principe,2019,42.1,4.9,224,0.22,0.11,0.11,100.2,1
Sao Tome and Principe,2021,41.3,5.1,232.7,0.22,0.11,0.11,100.2,NA
Saudi Arabia,2010,29.7,4.5,12.8,27.419999999999998,11.99,15.43,128.6,NA
Saudi Arabia,2015,25.8,5.2,14.8,31.72,13.68,18.04,131.9,2207
Saudi Arabia,2019,24.9,5.7,15.9,34.27,14.49,19.779999999999998,136.6,2207
Saudi Arabia,2021,24.5,6.2,16.4,35.339999999999996,14.9,20.439999999999998,137.1,NA
Senegal,2010,43.5,4.8,65.9,12.68,6.51,6.17,94.9,NA
Senegal,2015,43.5,4.8,75.7,14.58,7.49,7.09,94.7,197
Senegal,2019,42.8,4.8,84.6,16.3,8.350000000000001,7.95,95.2,197
Senegal,2021,42.3,4.8,89.3,17.2,8.8,8.4,95.4,NA
Serbia,2010,17.3,21.1,102.8,8.99,4.58,4.41,96.1,NA
Serbia,2015,16.2,24.3,101.5,8.88,4.53,4.35,96.1,88
Serbia,2019,15.5,25.2,100.3,8.77,4.470000000000001,4.3,96,88
Serbia,2021,15.2,25.5,99.4,8.7,4.44,4.26,96,NA
Seychelles,2010,22.8,9.9,198.4,0.09,0.04,0.05,106.6,NA
Seychelles,2015,23.2,10.8,206.5,0.1,0.05,0.05,106,0
Seychelles,2019,23.7,12.5,212.5,0.1,0.05,0.05,105.5,0
Seychelles,2021,23.7,13.5,215,0.1,0.05,0.05,105.1,NA
Sierra Leone,2010,43,4.8,88.9,6.42,3.22,3.19,99.1,NA
Sierra Leone,2015,41.9,4.7,99.4,7.17,3.6,3.57,99.3,72
Sierra Leone,2019,40.7,4.6,108.2,7.81,3.9099999999999997,3.9,99.6,72
Sierra Leone,2021,40,4.7,112.8,8.139999999999999,4.08,4.06,99.7,NA
Singapore,2010,14,12.7,7330.2,5.13,2.46,2.68,108.9,NA
Singapore,2015,12.6,15.7,7988.8,5.59,2.67,2.9299999999999997,109.8,1
Singapore,2019,12.3,19.9,8291.9,5.8,2.77,3.04,109.8,1
Singapore,2021,12.4,21.9,8423.8,5.9,2.8099999999999996,3.09,109.8,NA
Sint Maarten (Dutch part),2010,NA,NA,1004.9,0.03,NA,NA,NA,NA
Sint Maarten (Dutch part),2015,NA,NA,1175.5,0.04,NA,NA,NA,0
Sint Maarten (Dutch part),2019,NA,NA,1246.7,0.04,NA,NA,NA,0
Sint Maarten (Dutch part),2021,NA,NA,1277.1,0.04,NA,NA,NA,NA
Slovakia,2010,15.3,17.8,112.4,5.4,2.7800000000000002,2.62,94.2,NA
Slovakia,2015,15.3,20.7,113,5.44,2.79,2.64,94.5,49
Slovakia,2019,15.5,22.8,113.5,5.46,2.8,2.66,94.9,49
Slovakia,2021,15.6,23.8,113.6,5.46,2.8,2.66,94.9,NA
Slovenia,2010,14,22.2,101.5,2.04,1.03,1.01,98.2,NA
Slovenia,2015,14.7,25.1,102.8,2.07,1.04,1.03,98.8,20
Slovenia,2019,15.1,27.2,103.2,2.08,1.04,1.03,99.1,20
Slovenia,2021,15.1,28.2,103.2,2.08,1.04,1.04,99.3,NA
Solomon Islands,2010,40.8,5.1,18.9,0.53,0.26,0.27,103.3,NA
Solomon Islands,2015,40.4,5.3,21.5,0.6,0.3,0.31,103.4,29
Solomon Islands,2019,40.1,5.5,23.9,0.6699999999999999,0.32999999999999996,0.33999999999999997,103.4,29
Solomon Islands,2021,39.9,5.7,25.2,0.7,0.35,0.36,103.5,NA
Somalia,2010,48.2,4.4,19.2,12.04,6.03,6.02,99.8,NA
Somalia,2015,47.2,4.5,22,13.8,6.91,6.88,99.5,638
Somalia,2019,46.4,4.5,24.6,15.44,7.74,7.7,99.5,638
Somalia,2021,46,4.6,26.1,16.36,8.2,8.16,99.4,NA
South Africa,2010,29.7,7.2,42.2,51.220000000000006,25.95,25.27,97.4,NA
South Africa,2015,29.3,7.9,45.7,55.39,28.05,27.34,97.5,1221
South Africa,2019,29,8.4,48.3,58.56,29.7,28.86,97.2,1221
South Africa,2021,28.6,8.7,49.5,60.04,30.479999999999997,29.56,97,NA
South America,2010,26.5,10.4,22.5,392.54,198.76,193.79,97.5,NA
South America,2015,24.4,11.9,23.6,412.36,209.07,203.29,97.2,17832
South America,2019,22.9,13.3,24.5,427.2,216.82000000000002,210.38000000000002,97,17461
South America,2021,22.4,14.1,24.9,434.26,220.49,213.76999999999998,96.9,NA
South Sudan,2010,43.5,5.2,15.6,9.51,4.76,4.75,99.9,NA
South Sudan,2015,42.5,5.1,17.5,10.719999999999999,5.359999999999999,5.359999999999999,100.1,659
South Sudan,2017,42.1,5.1,17.9,10.91,5.45,5.46,100.2,659
South Sudan,2021,41.1,5.2,18.6,11.38,5.68,5.7,100.2,NA
South-central Asia,2010,31.6,7.5,171.9,1775.36,858.9,916.4599999999999,106.7,NA
South-central Asia,2015,29.5,8.4,183.6,1896.33,918.8299999999999,977.5,106.4,10791
South-central Asia,2019,28,9.2,192.8,1991.42,965.6800000000001,1025.74,106.2,10327
South-central Asia,2021,27.2,9.7,197.3,2037.7,988.37,1049.33,106.2,NA
South-eastern Asia,2010,27.9,8.1,137.5,596.9499999999999,298.6,298.34000000000003,99.9,NA
South-eastern Asia,2015,26.5,9.4,146.1,634.31,317.35,316.95,99.9,4495
South-eastern Asia,2019,25.4,10.8,152.5,662.01,331.34000000000003,330.67,99.8,4341
South-eastern Asia,2021,24.9,11.5,155.5,675.12,337.98999999999995,337.13,99.7,NA
Southern Africa,2010,30.5,7,22,58.379999999999995,29.650000000000002,28.74,96.9,NA
Southern Africa,2015,30.1,7.7,23.8,62.99,31.959999999999997,31.02,97.1,2675
Southern Africa,2019,29.7,8.2,25.1,66.63,33.839999999999996,32.790000000000006,96.9,2651
Southern Africa,2021,29.3,8.4,25.8,68.36,34.730000000000004,33.63,96.8,NA
Southern Asia,2010,31.7,7.5,267.6,1712.56,827.11,885.4399999999999,107.1,NA
Southern Asia,2015,29.5,8.4,285.6,1827.85,884.22,943.63,106.7,6688
Southern Asia,2017,28.6,8.8,292.7,1873.24,906.61,966.63,106.6,6688
Southern Asia,2021,27.1,9.7,306.6,1962.27,950.3,1011.97,106.5,NA
Southern Europe,2010,14.9,24,118.2,153.02,78.26,74.75,95.5,NA
Southern Europe,2015,14.5,25.8,118.2,153.06,78.4,74.66,95.2,1317
Southern Europe,2019,14,27.4,117.7,152.45000000000002,78,74.45,95.5,1295
Southern Europe,2021,13.7,28.4,117.3,151.95000000000002,77.67999999999999,74.26,95.6,NA
Spain,2010,14.8,22.2,94.1,46.93,23.73,23.2,97.7,NA
Spain,2015,14.9,24,93.6,46.67,23.759999999999998,22.919999999999998,96.5,506
Spain,2019,14.6,25.7,93.7,46.74,23.779999999999998,22.959999999999997,96.6,506
Spain,2021,14.2,26.8,93.7,46.75,23.77,22.979999999999997,96.7,NA
Sri Lanka,2010,25.4,11.9,323.1,20.259999999999998,10.4,9.870000000000001,94.9,NA
Sri Lanka,2015,24.8,14,333.4,20.91,10.83,10.08,93.1,66
Sri Lanka,2019,24,15.9,340,21.32,11.09,10.229999999999999,92.3,66
Sri Lanka,2021,23.4,16.9,342.8,21.5,11.2,10.3,92,NA
State of Palestine,2010,42.3,4.4,673.7,4.06,2,2.06,103,NA
State of Palestine,2015,39.9,4.6,752.4,4.53,2.23,2.3,103,6
State of Palestine,2019,38.6,4.8,827.5,4.98,2.46,2.53,102.9,6
State of Palestine,2021,38,5.1,867.6,5.22,2.57,2.65,102.9,NA
Sub-Saharan Africa,2010,43.8,4.6,38.2,836.3599999999999,419.97999999999996,416.39,99.1,NA
Sub-Saharan Africa,2015,43.2,4.6,43.8,958.58,480.74,477.84000000000003,99.4,22431
Sub-Saharan Africa,2019,42.3,4.7,48.7,1066.28,534.25,532.04,99.6,21879
Sub-Saharan Africa,2021,41.8,4.8,51.3,1122.85,562.38,560.47,99.7,NA
Sudan,2010,43,5.1,19.6,34.55,17.310000000000002,17.23,99.5,NA
Sudan,2015,41.5,5.4,22,38.9,19.479999999999997,19.419999999999998,99.7,NA
Sudan,2021,39.5,5.7,25.4,44.91,22.47,22.439999999999998,99.9,NA
Suriname,2010,29.4,9.1,3.4,0.53,0.26,0.27,101.5,NA
Suriname,2015,27.9,9.7,3.6,0.56,0.28,0.28,101.3,164
Suriname,2019,26.9,10.5,3.7,0.58,0.29000000000000004,0.29000000000000004,101.1,164
Suriname,2021,26.4,11.2,3.8,0.59,0.29000000000000004,0.3,101,NA
Sweden,2010,16.5,24.9,22.9,9.39,4.71,4.68,99.2,NA
Sweden,2015,17.3,25.2,23.8,9.76,4.88,4.88,99.9,439
Sweden,2019,17.6,25.8,24.5,10.04,5.01,5.03,100.3,439
Sweden,2021,17.7,26.1,24.8,10.16,5.07,5.09,100.4,NA
Switzerland,2010,15.1,22.8,197.6,7.81,3.96,3.8499999999999996,97,NA
Switzerland,2015,14.8,23.5,210,8.3,4.1899999999999995,4.109999999999999,98,41
Switzerland,2019,14.9,24.8,217.4,8.59,4.33,4.26,98.4,41
Switzerland,2021,15,25.8,220.6,8.719999999999999,4.39,4.33,98.5,NA
Syrian Arab Republic,2010,37.4,5,116.3,21.36,10.58,10.79,102,NA
Syrian Arab Republic,2015,33.1,6.3,98,18,8.93,9.07,101.5,185
Syrian Arab Republic,2019,31.1,7.3,93,17.07,8.52,8.55,100.5,185
Syrian Arab Republic,2021,30.7,7.6,99.5,18.279999999999998,9.139999999999999,9.139999999999999,100.1,NA
Tajikistan,2010,35.7,4.8,53.8,7.53,3.73,3.8,101.8,NA
Tajikistan,2015,35.8,4.8,60.4,8.450000000000001,4.1899999999999995,4.2700000000000005,101.8,143
Tajikistan,2019,37.1,5.5,66.6,9.32,4.619999999999999,4.7,101.6,143
Tajikistan,2021,37.4,6,69.7,9.75,4.84,4.91,101.5,NA
Thailand,2010,19.2,12.9,131.5,67.2,34.260000000000005,32.93,96.1,NA
Thailand,2015,18,15.7,134.5,68.71000000000001,35.160000000000004,33.56,95.5,513
Thailand,2019,16.8,18.5,136.3,69.63,35.720000000000006,33.9,94.9,513
Thailand,2021,16.3,20,136.9,69.95,35.93,34.02,94.7,NA
Timor-Leste,2010,42.5,6.3,73.5,1.09,0.54,0.55,102.2,NA
Timor-Leste,2015,39.5,6.3,80.5,1.2,0.59,0.6,102.2,15
Timor-Leste,2019,37.3,6.5,87,1.29,0.64,0.65,102.2,15
Timor-Leste,2021,36.6,6.6,90.4,1.34,0.6599999999999999,0.6799999999999999,102.1,NA
Togo,2010,42.8,4.4,118.1,6.42,3.24,3.19,98.4,NA
Togo,2015,42.1,4.5,134.6,7.319999999999999,3.68,3.64,98.8,57
Togo,2019,41,4.7,148.6,8.08,4.06,4.02,99,57
Togo,2021,40.3,4.7,155.9,8.48,4.26,4.22,99.1,NA
Tokelau,2010,NA,NA,112.9,0,NA,NA,NA,NA
Tokelau,2015,NA,NA,124.7,0,NA,NA,NA,0
Tokelau,2019,NA,NA,133,0,NA,NA,NA,0
Tokelau,2021,NA,NA,136.8,0,NA,NA,NA,NA
Tonga,2010,37.4,7.9,144.4,0.1,0.05,0.05,100.5,NA
Tonga,2015,36.4,8.7,140,0.1,0.05,0.05,99.9,1
Tonga,2019,35.1,8.7,145.1,0.1,0.05,0.05,100.1,1
Tonga,2021,34.4,8.8,148.3,0.11,0.05,0.05,100.2,NA
"Total, all countries or areas",2010,27,11,53.5,6956.820000000001,3449.12,3507.7,101.7,NA
"Total, all countries or areas",2015,26.2,12.2,56.7,7379.8,3659.1,3720.7,101.7,136162
"Total, all countries or areas",2019,25.6,13.2,59.3,7713.469999999999,3824.4300000000003,3889.03,101.7,130094
"Total, all countries or areas",2021,25.3,13.7,60.5,7874.969999999999,3904.73,3970.24,101.7,NA
Trinidad and Tobago,2010,20.7,12.4,258.9,1.33,0.6699999999999999,0.6599999999999999,98.1,NA
Trinidad and Tobago,2015,20.7,14.5,267.1,1.37,0.69,0.6799999999999999,97.8,5
Trinidad and Tobago,2019,20.3,16.4,271.9,1.4,0.71,0.69,97.6,5
Trinidad and Tobago,2021,19.8,17.5,273.6,1.4,0.71,0.69,97.4,NA
Tunisia,2010,23.3,10.4,68.5,10.639999999999999,5.33,5.3,99.5,NA
Tunisia,2015,23.8,11.8,72,11.18,5.64,5.54,98.3,164
Tunisia,2019,24.2,13.1,75.3,11.69,5.9,5.8,98.3,164
Tunisia,2021,24.2,13.8,76.8,11.94,6.02,5.92,98.4,NA
Turkey,2010,26.9,10.4,94,72.33,36.760000000000005,35.56,96.7,NA
Turkey,2015,25.6,11.5,102,78.53,39.879999999999995,38.65,96.9,784
Turkey,2019,24.3,12.7,108.4,83.43,42.260000000000005,41.17,97.4,784
Turkey,2021,23.6,13.5,110.5,85.04,43.06,41.98,97.5,NA
Turkmenistan,2010,29.5,6.1,10.8,5.09,2.58,2.5,96.8,NA
Turkmenistan,2015,30.4,6.8,11.8,5.57,2.8299999999999996,2.74,97,488
Turkmenistan,2019,30.8,7.8,12.6,5.94,3.02,2.9299999999999997,97,488
Turkmenistan,2021,30.6,8.4,13,6.119999999999999,3.11,3.01,97,NA
Turks and Caicos Islands,2010,NA,NA,34.4,0.03,NA,NA,NA,NA
Turks and Caicos Islands,2015,NA,NA,37.9,0.04,NA,NA,NA,1
Turks and Caicos Islands,2019,NA,NA,40.2,0.04,NA,NA,NA,1
Turks and Caicos Islands,2021,NA,NA,41.3,0.04,NA,NA,NA,NA
Tuvalu,2010,NA,NA,350.7,0.01,NA,NA,NA,NA
Tuvalu,2015,NA,NA,370,0.01,NA,NA,NA,0
Tuvalu,2019,NA,NA,388.5,0.01,NA,NA,NA,0
Tuvalu,2021,NA,NA,397.5,0.01,NA,NA,NA,NA
Uganda,2010,49.1,3,162.3,32.43,16.51,15.91,96.4,NA
Uganda,2015,48,3.1,191.3,38.230000000000004,19.45,18.779999999999998,96.5,242
Uganda,2019,46.5,3.2,221.6,44.27,22.459999999999997,21.810000000000002,97.1,242
Uganda,2021,45.5,3.3,235.8,47.120000000000005,23.88,23.24,97.3,NA
Ukraine,2010,14.1,21,79,45.790000000000006,24.66,21.14,85.7,NA
Ukraine,2015,15.3,22.2,77.5,44.92,24.14,20.779999999999998,86.1,604
Ukraine,2019,15.9,23.4,75.9,43.99,23.610000000000003,20.38,86.3,604
Ukraine,2021,15.9,24,75,43.47,23.32,20.14,86.4,NA
United Arab Emirates,2010,13.2,1.4,102.3,8.55,2.15,6.4,296.9,NA
United Arab Emirates,2015,14.2,1.8,110.8,9.26,2.74,6.52,237.8,84
United Arab Emirates,2019,14.7,2.8,116.9,9.77,3,6.7700000000000005,225.3,71
United Arab Emirates,2021,14.9,3.6,119.5,9.99,3.1,6.89,222,NA
United Kingdom,2010,17.5,22.6,262.3,63.46,32.28,31.18,96.6,NA
United Kingdom,2015,17.6,23.3,272.2,65.86,33.4,32.46,97.2,242
United Kingdom,2019,17.7,24.1,279.1,67.53,34.18,33.349999999999994,97.6,242
United Kingdom,2021,17.6,24.7,281.9,68.21000000000001,34.49,33.720000000000006,97.8,NA
United Rep. of Tanzania,2010,44.9,4,50.1,44.349999999999994,22.23,22.12,99.5,NA
United Rep. of Tanzania,2015,44.7,4,58.1,51.48,25.79,25.7,99.6,947
United Rep. of Tanzania,2019,43.8,4.2,65.5,58.01,29.02,28.979999999999997,99.8,947
United Rep. of Tanzania,2021,43.3,4.3,69.4,61.5,30.759999999999998,30.74,99.9,NA
United States of America,2010,20.2,18.4,33.8,309.01,156.4,152.60999999999999,97.6,NA
United States of America,2015,19.2,20.5,35.1,320.88,162.17,158.70999999999998,97.9,9834
United States of America,2019,18.5,22.4,36,329.06,166.23999999999998,162.83,97.9,9834
United States of America,2021,18.2,23.3,36.4,332.91999999999996,168.19,164.73,97.9,NA
United States Virgin Islands,2010,20.7,20.4,303.1,0.11,0.06,0.05,91.8,NA
United States Virgin Islands,2015,20.3,24.1,299.9,0.11,0.05,0.05,91,0
United States Virgin Islands,2019,19.5,26.9,298.8,0.1,0.05,0.05,90.6,0
United States Virgin Islands,2021,18.9,28.3,297.8,0.1,0.05,0.05,90.4,NA
Uruguay,2010,22.2,18.5,19.2,3.36,1.74,1.62,93,NA
Uruguay,2015,21.1,19.2,19.5,3.4099999999999997,1.77,1.6500000000000001,93.2,174
Uruguay,2019,20.5,20,19.8,3.46,1.79,1.6700000000000002,93.4,174
Uruguay,2021,20.2,20.5,19.9,3.4899999999999998,1.8,1.6800000000000002,93.6,NA
Uzbekistan,2010,29.1,6.2,67,28.52,14.33,14.18,98.9,NA
Uzbekistan,2015,28.4,6.9,72.7,30.93,15.52,15.41,99.3,449
Uzbekistan,2019,28.8,8,77.5,32.98,16.53,16.45,99.5,449
Uzbekistan,2021,28.7,8.6,79.8,33.94,17,16.93,99.6,NA
Vanuatu,2010,38.2,5.7,19.4,0.24000000000000002,0.12000000000000001,0.12000000000000001,103.1,NA
Vanuatu,2015,39.1,5.7,22.2,0.27,0.13,0.14,103,12
Vanuatu,2019,38.7,5.8,24.6,0.3,0.15000000000000002,0.15000000000000002,102.8,12
Vanuatu,2021,38.2,5.9,25.8,0.31,0.16,0.16,102.7,NA
Venezuela (Boliv. Rep. of),2010,29.9,8.4,32.2,28.439999999999998,14.25,14.19,99.6,NA
Venezuela (Boliv. Rep. of),2015,28.4,9.6,34.1,30.08,15.129999999999999,14.950000000000001,98.8,912
Venezuela (Boliv. Rep. of),2019,27.4,11.6,32.3,28.52,14.47,14.05,97.1,930
Venezuela (Boliv. Rep. of),2021,26.5,12.4,32.5,28.7,14.59,14.11,96.7,NA
Viet Nam,2010,23.6,8.8,283.7,87.97,44.220000000000006,43.75,98.9,NA
Viet Nam,2015,23,10.2,298.9,92.67999999999999,46.48,46.2,99.4,331
Viet Nam,2019,23.2,11.9,311.1,96.46000000000001,48.309999999999995,48.15,99.7,331
Viet Nam,2021,23.2,12.8,316.6,98.16999999999999,49.15,49.02,99.7,NA
Wallis and Futuna Islands,2010,NA,NA,90.6,0.01,NA,NA,NA,NA
Wallis and Futuna Islands,2015,NA,NA,87.6,0.01,NA,NA,NA,0
Wallis and Futuna Islands,2019,NA,NA,81.7,0.01,NA,NA,NA,0
Wallis and Futuna Islands,2021,NA,NA,79.2,0.01,NA,NA,NA,NA
Western Africa,2010,44.2,4.5,50.6,307.04,152.89000000000001,154.15,100.8,NA
Western Africa,2015,44,4.5,58,351.71999999999997,174.91,176.81,101.1,6138
Western Africa,2019,43.4,4.5,64.6,391.44,194.45000000000002,196.99,101.3,6064
Western Africa,2021,42.9,4.6,68,412.46,204.8,207.66,101.4,NA
Western Asia,2010,31.1,7.3,48.4,232.43,111.57,120.86,108.3,NA
Western Asia,2015,29.3,7.9,53.6,257.66,123.3,134.36,109,4831
Western Asia,2019,28.3,8.6,57.3,275.32,131.19,144.14,109.9,4805
Western Asia,2021,27.9,9.1,59.1,283.98999999999995,135.26,148.73,110,NA
Western Europe,2010,15.9,24.3,173.4,188.13,96.16,91.96000000000001,95.6,NA
Western Europe,2015,15.6,25.8,177.1,192.08,97.98,94.1,96,1108
Western Europe,2019,15.6,27,180.2,195.52,99.5,96.02,96.5,1085
Western Europe,2021,15.6,27.8,181.2,196.6,99.96000000000001,96.64,96.7,NA
Western Sahara,2010,29.4,3.8,1.8,0.48000000000000004,0.23,0.25,111.2,NA
Western Sahara,2015,28.5,4.8,2,0.53,0.25,0.28,110.5,266
Western Sahara,2019,27.4,6,2.2,0.58,0.28,0.3,109.7,266
Western Sahara,2021,26.9,6.6,2.3,0.61,0.29000000000000004,0.32,109.4,NA
Yemen,2010,42.7,4.3,43.9,23.150000000000002,11.48,11.67,101.6,NA
Yemen,2015,40.7,4.4,50.2,26.5,13.139999999999999,13.360000000000001,101.6,528
Yemen,2019,39.2,4.6,55.2,29.16,14.47,14.69,101.5,528
Yemen,2021,38.4,4.7,57.8,30.49,15.129999999999999,15.360000000000001,101.5,NA
Zambia,2010,47.3,3.3,18.3,13.61,6.89,6.72,97.5,NA
Zambia,2015,46.2,3.3,21.4,15.88,8.02,7.859999999999999,97.9,753
Zambia,2019,44.5,3.4,24,17.86,9.02,8.84,98.1,753
Zambia,2021,43.6,3.5,25.5,18.919999999999998,9.55,9.370000000000001,98.1,NA
Zimbabwe,2010,41.6,4.4,32.8,12.7,6.6499999999999995,6.05,91,NA
Zimbabwe,2015,42.6,4.4,35.7,13.81,7.25,6.57,90.7,391
Zimbabwe,2019,42.2,4.6,37.9,14.65,7.659999999999999,6.98,91.1,391
Zimbabwe,2021,41.3,4.7,39,15.09,7.89,7.21,91.4,NA
